shape,scale,age_dx,sexM,smokingY,c_chf,c_ihd,c_cancer,c_dm,c_asthma,c_dementia,c_depression,c_anxiety,c_htn,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o
0.000000050,0.000018540,-0.000000520,0.000001860,0.000012630,-0.000035900,0.000006990,0.000000540,-0.000008280,0.000004920,0.001221290,-0.000434820,-0.000059200,-0.000014370,0.000003990,0.000000080,0.000021150,-0.000001230,0.000024220,0.000022190,0.000000310,-0.000012560,0.000001180,-0.000011650
0.000000220,-0.000123290,0.000001840,0.000008310,-0.000018510,0.000000680,-0.000009740,-0.000008310,-0.000012450,-0.000003860,-0.000434820,0.000855010,-0.000065060,-0.000002920,-0.000003170,0.000003710,0.000008030,0.000011010,0.000011680,0.000003370,0.000004100,0.000001170,-0.000001790,-0.000001590
0.000000830,-0.000133900,0.000001100,0.000024660,0.000000840,0.000001350,-0.000005770,-0.000010370,0.000007050,-0.000010430,-0.000059200,-0.000065060,0.000262240,-0.000001960,0.000008400,0.000011480,-0.000002580,-0.000000220,-0.000006130,-0.000003510,-0.000000970,0.000000610,-0.000000660,-0.000001110
0.000000560,0.000072290,-0.000002670,0.000004490,0.000006580,-0.000019610,-0.000033000,-0.000007280,-0.000044080,-0.000004030,-0.000014370,-0.000002920,-0.000001960,0.000223580,0.000000760,-0.000004860,-0.000003120,0.000002780,-0.000002630,-0.000003070,0.000000310,0.000000670,0.000000380,-0.000001810
0.000000360,-0.000104390,0.000000160,-0.000001180,-0.000003000,0.000005260,-0.000004100,0.000001150,0.000003200,0.000004380,0.000003990,-0.000003170,0.000008400,0.000000760,0.000229340,0.000120760,-0.000028690,-0.000032160,-0.000029590,-0.000018740,-0.000003220,0.000002600,-0.000000010,0.000000060
0.000001680,-0.000072640,0.000000070,-0.000006150,-0.000002500,0.000008670,0.000000680,0.000005190,0.000001540,0.000012230,0.000000080,0.000003710,0.000011480,-0.000004860,0.000120760,0.000313800,-0.000040190,-0.000043710,-0.000066000,-0.000048590,-0.000009020,0.000006430,-0.000000830,0.000001230
0.000000150,-0.000435110,0.000000010,0.000006650,0.000007150,0.000005860,0.000000010,0.000000030,-0.000003430,-0.000000230,0.000021150,0.000008030,-0.000002580,-0.000003120,-0.000028690,-0.000040190,0.000730100,0.000444700,0.000449410,0.000446030,-0.000000520,-0.000002380,0.000000000,0.000002230
0.000000700,-0.000433850,0.000000110,0.000014660,-0.000005800,-0.000000610,-0.000003390,-0.000000900,-0.000002510,0.000007170,-0.000001230,0.000011010,-0.000000220,0.000002780,-0.000032160,-0.000043710,0.000444700,0.000655020,0.000449330,0.000448150,-0.000000990,0.000000660,-0.000000140,0.000000790
0.000000840,-0.000439260,0.000000180,0.000018110,-0.000003650,0.000005760,-0.000002560,0.000000760,-0.000007890,-0.000000450,0.000024220,0.000011680,-0.000006130,-0.000002630,-0.000029590,-0.000066000,0.000449410,0.000449330,0.000629590,0.000453380,-0.000003070,-0.000000730,0.000000120,0.000002190
0.000001230,-0.000468480,0.000000590,0.000024130,-0.000007930,0.000001010,-0.000003790,0.000003210,-0.000012990,-0.000000160,0.000022190,0.000003370,-0.000003510,-0.000003070,-0.000018740,-0.000048590,0.000446030,0.000448150,0.000453380,0.000594090,-0.000001150,-0.000000880,-0.000000220,0.000001860
-0.000000360,-0.000000780,0.000000000,-0.000001080,0.000000730,0.000000440,0.000002480,0.000003060,0.000002880,-0.000004780,0.000000310,0.000004100,-0.000000970,0.000000310,-0.000003220,-0.000009020,-0.000000520,-0.000000990,-0.000003070,-0.000001150,0.000014340,-0.000013460,-0.000000140,0.000000140
-0.000000230,0.000021970,-0.000000290,0.000002070,-0.000008000,-0.000012840,-0.000008730,-0.000002890,-0.000005800,-0.000003560,-0.000012560,0.000001170,0.000000610,0.000000670,0.000002600,0.000006430,-0.000002380,0.000000660,-0.000000730,-0.000000880,-0.000013460,0.000044040,0.000000060,-0.000002470
0.000000050,0.000000020,0.000000000,0.000000220,-0.000000100,0.000000100,0.000000100,0.000000150,-0.000000540,0.000000230,0.000001180,-0.000001790,-0.000000660,0.000000380,-0.000000010,-0.000000830,0.000000000,-0.000000140,0.000000120,-0.000000220,-0.000000140,0.000000060,0.000000070,-0.000000160
0.000000130,-0.000001910,-0.000000010,-0.000001790,-0.000000130,-0.000003640,-0.000001390,-0.000002570,-0.000000330,-0.000000200,-0.000011650,-0.000001590,-0.000001110,-0.000001810,0.000000060,0.000001230,0.000002230,0.000000790,0.000002190,0.000001860,0.000000140,-0.000002470,-0.000000160,0.000005040
